grid_id,grid_size_m,grid_area_km2,longitude_epsg4326,latitude_epsg4326,x_epsg32648,y_epsg32648,grid_population_density,grid_population
1,25,0.00013,106.764266,10.87340244,692845.4721,1202541.756,7735.126746,1.01003328
2,25,0.00024,106.7642677,10.87356631,692845.555,1202559.884,7735.126746,1.842623285
3,25,0.00018,106.7642802,10.87379055,692846.7704,1202584.697,7769.879569,1.373329976
4,25,0.00011,106.7642927,10.87400798,692848.0071,1202608.757,7839.385215,0.862315881
5,25,0.00000,106.7643097,10.87414982,692849.7685,1202624.458,7839.385215,0.030660234
6,25,0.00007,106.7644962,10.87319856,692870.7766,1202519.349,7908.890862,0.580710556
7,25,0.00058,106.7644314,10.87335181,692863.5938,1202536.26,7908.890862,4.561017738
8,25,0.00063,106.7644257,10.87357026,692862.8269,1202560.422,7943.643685,4.984092606
9,25,0.00063,106.764427,10.87379625,692862.8271,1202585.422,7908.890862,4.962287492
10,25,0.00063,106.7644284,10.87402225,692862.8271,1202610.422,8117.407801,5.093117494
11,25,0.00055,106.7644423,10.87424103,692864.2141,1202634.631,8464.936033,4.664926918
12,25,0.00033,106.7644835,10.87446064,692868.5755,1202658.952,8916.722734,2.901257708
13,25,0.00010,106.7645208,10.8746558,692872.5302,1202680.563,9229.498143,0.890994742
14,25,0.00002,106.7647445,10.87298733,692898.0602,1202496.142,8117.407801,0.147886516
15,25,0.00050,106.7646673,10.87313524,692889.5162,1202512.454,8152.160624,4.051095519
16,25,0.00063,106.764653,10.87334295,692887.8269,1202535.422,8256.419094,5.180336629
17,25,0.00063,106.7646544,10.87356895,692887.8268,1202560.422,8325.92474,5.223946552
18,25,0.00063,106.7646557,10.87379494,692887.8267,1202585.422,8395.430386,5.267556473
19,25,0.00063,106.764657,10.87402093,692887.8268,1202610.422,8708.205795,5.463801473
20,25,0.00063,106.7646583,10.87424693,692887.8268,1202635.422,8951.475557,5.616436442
21,25,0.00063,106.7646597,10.87447292,692887.8268,1202660.422,9403.262259,5.899901469
22,25,0.00063,106.7646611,10.87469878,692887.8423,1202685.407,9646.532021,6.044899991
23,25,0.00049,106.764685,10.87491602,692890.3165,1202709.452,10063.5659,4.96688283
