original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,gis_route_distance_km,average_travel_time_s,average_travel_time_min,average_speed_kmh,assigned_grid_count,assigned_grid_area_km2,assigned_grid_area_m2,Popij,assigned_grid_population_total,Sij_m,Sij_km,forward_source_link_name
0,1_3,Forward,1,3,10.8771068,106.8028618,10.8766326,106.8024914,"International University, VNU-HCM","International University, VNU-HCM - Creative Square - Linh Trung Ward",142,0.142,23,0.383333333,22.22608696,0,0,0,0,0,0,0,1_3
1,1_2,U-turn,1,2,10.8771068,106.8028618,10.8781307,106.8027517,"International University, VNU-HCM","International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",111,0.111,16,0.266666667,24.975,0,0,0,0,0,0,0,
2,1_5,Forward,1,5,10.8771068,106.8028618,10.875638,106.804914,"International University, VNU-HCM",VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,308,0.308,47,0.783333333,23.59148936,0,0,0,0,0,0,0,1_5
3,1_25,Forward,1,25,10.8771068,106.8028618,10.8736134,106.8029052,"International University, VNU-HCM",VNU-HCM Area A Bus Terminal - Creative Square,475,0.475,90.49055406,1.508175901,18.897,3,0.030115486,30115.48593,118.0908619,118.0908619,7.936346034,0.007936346,1_25
4,2_1,U-turn,2,1,10.8781307,106.8027517,10.8771068,106.8028618,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward","International University, VNU-HCM",111,0.111,14,0.233333333,28.54285714,0,0,0,0,0,0,0,
5,2_19,Forward,2,19,10.8781307,106.8027517,10.874543,106.8001747,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",Student Cultural House - Creative Square - Linh Trung Ward,1370,1.37,323,5.383333333,15.26934985,3,0.030115563,30115.5626,153.8779981,153.8779981,39.89466381,0.039894664,2_19
6,2_42,Forward,2,42,10.8781307,106.8027517,10.883092,106.8,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",Ho Da Lake - Le Quy Don Intersection - Nguyen Du Street (Residential Block 497-499) - Linh Trung Ward,686,0.686,98,1.633333333,25.2,2,0.020077011,20077.01055,9.179428381,9.179428381,15.18174367,0.015181744,2_42
7,2_43,Forward,2,43,10.8781307,106.8027517,10.8850557,106.8000822,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",National Defense and Security Education Center,820,0.82,99,1.65,29.81818182,4,0.040154025,40154.02537,9.580968384,9.580968384,25.0630392,0.025063039,2_43
8,2_13,Forward,2,13,10.8781307,106.8027517,10.8801103,106.807183,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",895,0.895,156,2.6,20.65384615,3,0.030115416,30115.41618,33.01285903,33.01285903,16.64215966,0.01664216,2_13
9,2_41,Forward,2,41,10.8781307,106.8027517,10.8873942,106.8047072,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",National Defense and Security Education Center (Nguyen Du Gate) - Opposite Rear Gate - Nguyen Du Street - Binh Chieu Ward,1342,1.342,181,3.016666667,26.69171271,5,0.050192419,50192.4189,16.87154906,16.87154906,15.16955603,0.015169556,2_41
10,2_15,Forward,2,15,10.8781307,106.8027517,10.880791,106.810634,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward","AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",1501,1.501,204,3.4,26.48823529,0,0,0,0,0,0,0,2_15
11,2_35,Forward,2,35,10.8781307,106.8027517,10.8809737,106.8142454,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",Opposite New Eastern Bus Station,2320,2.32,334.6019791,5.576699651,24.961,6,0.060132832,60132.83179,205.33745,205.33745,17.27236194,0.017272362,2_35
12,3_4,U-turn,3,4,10.8766326,106.8024914,10.8764075,106.8024855,"International University, VNU-HCM - Creative Square - Linh Trung Ward","International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward",396,0.396,951,15.85,1.499053628,0,0,0,0,0,0,0,
13,3_18,Forward,3,18,10.8766326,106.8024914,10.8743785,106.7999792,"International University, VNU-HCM - Creative Square - Linh Trung Ward",Student Cultural House - Opposite Student Cultural House - Creative Square - Linh Trung Ward,486,0.486,79,1.316666667,22.14683544,0,0,0,0,0,0,0,3_18
14,3_19,Forward,3,19,10.8766326,106.8024914,10.874543,106.8001747,"International University, VNU-HCM - Creative Square - Linh Trung Ward",Student Cultural House - Creative Square - Linh Trung Ward,484,0.484,79,1.316666667,22.0556962,0,0,0,0,0,0,0,3_19
15,3_65,Forward,3,65,10.8766326,106.8024914,10.8809022,106.7955379,"International University, VNU-HCM - Creative Square - Linh Trung Ward",VNU-HCM Guest House - Opposite VNU-HCM Guest House (Stop CX 353-355) - Nguyen Du Street - Linh Trung Ward,1043,1.043,137,2.283333333,27.40729927,15,0.150577969,150577.9691,282.5541167,282.5541167,52.60218738,0.052602187,3_65
16,4_3,U-turn,4,3,10.8764075,106.8024855,10.8766326,106.8024914,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward","International University, VNU-HCM - Creative Square - Linh Trung Ward",203,0.203,30,0.5,24.36,0,0,0,0,0,0,0,
17,4_2,Forward,4,2,10.8764075,106.8024855,10.8781307,106.8027517,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward","International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",285,0.285,37.0798699,0.617997832,27.67,0,0,0,0,0,0,0,4_2
18,4_5,Forward,4,5,10.8764075,106.8024855,10.875638,106.804914,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward",VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,293,0.293,39,0.65,27.04615385,1,0.010038485,10038.48474,24.17110984,24.17110984,2.651700584,0.002651701,4_5
19,4_25,Forward,4,25,10.8764075,106.8024855,10.8736134,106.8029052,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward",VNU-HCM Area A Bus Terminal - Creative Square,462,0.462,70.34937823,1.172489637,23.642,0,0,0,0,0,0,0,4_25
20,5_6,U-turn,5,6,10.875638,106.804914,10.875778,106.8051008,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,194,0.194,32,0.533333333,21.825,0,0,0,0,0,0,0,
21,5_7,Forward,5,7,10.875638,106.804914,10.8746507,106.8061372,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,"University of Science, VNU-HCM - Opposite CNG Station - Road 621",191,0.191,38,0.633333333,18.09473684,1,0.010038466,10038.46593,26.19672331,26.19672331,2.205829624,0.00220583,5_7
22,5_25,Forward,5,25,10.875638,106.804914,10.8736134,106.8029052,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,425,0.425,65,1.083333333,23.53846154,0,0,0,0,0,0,0,5_25
23,6_17,Backward,6,17,10.875778,106.8051008,10.8765308,106.805115,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,Bus Stop 33,139,0.139,35,0.583333333,14.29714286,1,0.010038464,10038.46357,27.88476572,27.88476572,8.009529795,0.00800953,12_5
