original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,average_travel_time_s,average_speed_kmh,assigned_grid_area_km2,assigned_grid_area_m2,Popij,Sij_m,forward_source_link_name
0,1_3,Forward,1,3,10.8771068,106.8028618,10.8766326,106.8024914,"International University, VNU-HCM","International University, VNU-HCM - Creative Square - Linh Trung Ward",142,23,22.22608696,0.00063,630,1.429816771,4.713433499,
1,1_2,U-turn,1,2,10.8771068,106.8028618,10.8781307,106.8027517,"International University, VNU-HCM","International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",111,16,24.975,0,0,0,0,
2,1_5,Forward,1,5,10.8771068,106.8028618,10.875638,106.804914,"International University, VNU-HCM",VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,308,47,23.59148936,0.0063,6300,12.16134711,8.884732735,
3,1_25,Forward,1,25,10.8771068,106.8028618,10.8736134,106.8029052,"International University, VNU-HCM",VNU-HCM Area A Bus Terminal - Creative Square,475,90.49055406,18.897,0.01323,13230,43.30485724,16.03666423,
4,2_1,U-turn,2,1,10.8781307,106.8027517,10.8771068,106.8028618,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward","International University, VNU-HCM",111,14,28.54285714,0,0,0,0,
5,2_19,Forward,2,19,10.8781307,106.8027517,10.874543,106.8001747,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",Student Cultural House - Creative Square - Linh Trung Ward,1370,323,15.26934985,0.02961,29610,122.8893733,36.07327701,
6,2_42,Forward,2,42,10.8781307,106.8027517,10.883092,106.8,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",Ho Da Lake - Le Quy Don Intersection - Nguyen Du Street (Residential Block 497-499) - Linh Trung Ward,686,98,25.2,0.01701,17010,7.076282651,8.57165738,
7,2_43,Forward,2,43,10.8781307,106.8027517,10.8850557,106.8000822,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",National Defense and Security Education Center,820,99,29.81818182,0.04662,46620,14.38171756,22.28499343,
8,2_13,Forward,2,13,10.8781307,106.8027517,10.8801103,106.807183,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",895,156,20.65384615,0.03213,32130,38.07752651,21.07722371,
9,2_41,Forward,2,41,10.8781307,106.8027517,10.8873942,106.8047072,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",National Defense and Security Education Center (Nguyen Du Gate) - Opposite Rear Gate - Nguyen Du Street - Binh Chieu Ward,1342,181,26.69171271,0.04473,44730,9.590759257,24.59852242,
