original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,gis_route_distance_km,average_travel_time_s,average_travel_time_min,average_speed_kmh,assigned_grid_count,assigned_grid_area_km2,assigned_grid_area_m2,Popij,assigned_grid_population_total,Sij_m,Sij_km,forward_source_link_name,assignment_source_original_index
0,1_3,Forward,1,3,10.8771068,106.8028618,10.8766326,106.8024914,"International University, VNU-HCM","International University, VNU-HCM - Creative Square - Linh Trung Ward",142,0.142,23,0.383333333,22.22608696,1,0.002509624,2509.623998,4.23277495,4.23277495,8.087013288,0.008087013,,
1,1_2,U-turn,1,2,10.8771068,106.8028618,10.8781307,106.8027517,"International University, VNU-HCM","International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",111,0.111,16,0.266666667,24.975,0,0,0,0,0,0,0,,
2,1_5,Forward,1,5,10.8771068,106.8028618,10.875638,106.804914,"International University, VNU-HCM",VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,308,0.308,47,0.783333333,23.59148936,3,0.007528865,7528.865044,16.53234287,16.53234287,10.40539861,0.010405399,,
3,1_25,Forward,1,25,10.8771068,106.8028618,10.8736134,106.8029052,"International University, VNU-HCM",VNU-HCM Area A Bus Terminal - Creative Square,475,0.475,90.49055406,1.508175901,18.897,5,0.012548118,12548.11799,37.19710176,37.19710176,26.08685527,0.026086855,,
4,2_1,U-turn,2,1,10.8781307,106.8027517,10.8771068,106.8028618,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward","International University, VNU-HCM",111,0.111,14,0.233333333,28.54285714,0,0,0,0,0,0,0,,
5,2_19,Forward,2,19,10.8781307,106.8027517,10.874543,106.8001747,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",Student Cultural House - Creative Square - Linh Trung Ward,1370,1.37,323,5.383333333,15.26934985,11,0.027605916,27605.91597,114.3534481,114.3534481,41.16750682,0.041167507,,
6,2_42,Forward,2,42,10.8781307,106.8027517,10.883092,106.8,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",Ho Da Lake - Le Quy Don Intersection - Nguyen Du Street (Residential Block 497-499) - Linh Trung Ward,686,0.686,98,1.633333333,25.2,5,0.012548134,12548.1344,5.392058584,5.392058584,6.358827748,0.006358828,,
7,2_43,Forward,2,43,10.8781307,106.8027517,10.8850557,106.8000822,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",National Defense and Security Education Center,820,0.82,99,1.65,29.81818182,18,0.045173275,45173.27502,12.9283986,12.9283986,23.19200975,0.02319201,,
8,2_13,Forward,2,13,10.8781307,106.8027517,10.8801103,106.807183,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",895,0.895,156,2.6,20.65384615,13,0.032625035,32625.03459,47.09645908,47.09645908,20.82035792,0.020820358,,
9,2_41,Forward,2,41,10.8781307,106.8027517,10.8873942,106.8047072,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",National Defense and Security Education Center (Nguyen Du Gate) - Opposite Rear Gate - Nguyen Du Street - Binh Chieu Ward,1342,1.342,181,3.016666667,26.69171271,20,0.050192412,50192.41194,11.0246154,11.0246154,25.90446951,0.02590447,,
10,2_15,Forward,2,15,10.8781307,106.8027517,10.880791,106.810634,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward","AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",1501,1.501,204,3.4,26.48823529,6,0.015057682,15057.68215,51.6246772,51.6246772,7.551029262,0.007551029,,
11,2_35,Forward,2,35,10.8781307,106.8027517,10.8809737,106.8142454,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",Opposite New Eastern Bus Station,2320,2.32,334.6019791,5.576699651,24.961,23,0.057002948,57002.94799,192.9350398,192.9350398,25.05222928,0.025052229,,
12,3_4,U-turn,3,4,10.8766326,106.8024914,10.8764075,106.8024855,"International University, VNU-HCM - Creative Square - Linh Trung Ward","International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward",396,0.396,951,15.85,1.499053628,0,0,0,0,0,0,0,,
13,3_18,Forward,3,18,10.8766326,106.8024914,10.8743785,106.7999792,"International University, VNU-HCM - Creative Square - Linh Trung Ward",Student Cultural House - Opposite Student Cultural House - Creative Square - Linh Trung Ward,486,0.486,79,1.316666667,22.14683544,5,0.012548146,12548.1464,63.68693737,63.68693737,5.263158034,0.005263158,,
14,3_19,Forward,3,19,10.8766326,106.8024914,10.874543,106.8001747,"International University, VNU-HCM - Creative Square - Linh Trung Ward",Student Cultural House - Creative Square - Linh Trung Ward,484,0.484,79,1.316666667,22.0556962,0,0,0,0,0,0,0,,
15,3_65,Forward,3,65,10.8766326,106.8024914,10.8809022,106.7955379,"International University, VNU-HCM - Creative Square - Linh Trung Ward",VNU-HCM Guest House - Opposite VNU-HCM Guest House (Stop CX 353-355) - Nguyen Du Street - Linh Trung Ward,1043,1.043,137,2.283333333,27.40729927,56,0.140539487,140539.4869,210.9821086,210.9821086,50.18594601,0.050185946,,
16,4_3,U-turn,4,3,10.8764075,106.8024855,10.8766326,106.8024914,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward","International University, VNU-HCM - Creative Square - Linh Trung Ward",203,0.203,30,0.5,24.36,0,0,0,0,0,0,0,,
