WKT,Name,Latitude,Longitude
"POINT (106.78066 10.8971)",Point 1,10.8971,106.78066
"POINT (106.77631 10.898362)",Point 2,10.898362,106.77631
"POINT (106.77222 10.895926)",Point 3,10.895926,106.77222
"POINT (106.78979 10.901755)",Point 4,10.901755,106.78979
"POINT (106.8090286255 10.8778591156)",Point 5,10.8778591156,106.8090286255
"POINT (106.81098 10.880916)",Point 6,10.880916,106.81098
"POINT (106.80866 10.874743)",Point 7,10.874743,106.80866
"POINT (106.77673 10.897463)",Point 8,10.897463,106.77673
"POINT (106.78612 10.895867)",Point 9,10.895867,106.78612
"POINT (106.7872 10.892901)",Point 10,10.892901,106.7872
"POINT (106.78836 10.887891)",Point 11,10.887891,106.78836
"POINT (106.78393 10.886533)",Point 12,10.886533,106.78393
"POINT (106.78707 10.890628)",Point 13,10.890628,106.78707
"POINT (106.7838134766 10.9005775452)",Point 14,10.9005775452,106.7838134766
"POINT (106.77885 10.889607)",Point 15,10.889607,106.77885
"POINT (106.798515 10.873539)",Point 16,10.873539,106.798515
"POINT (106.8107223511 10.8786525726)",Point 17,10.8786525726,106.8107223511
"POINT (106.7826080322 10.8927869797)",Point 18,10.8927869797,106.7826080322
"POINT (106.78072 10.885807)",Point 19,10.885807,106.78072
"POINT (106.78099823 10.9039096832)",Point 20,10.9039096832,106.78099823
"POINT (106.7897567749 10.8904714584)",Point 21,10.8904714584,106.7897567749
"POINT (106.778854 10.889588)",Point 22,10.889588,106.778854
"POINT (106.7862854004 10.894659996)",Point 23,10.894659996,106.7862854004
"POINT (106.77215 10.893357)",Point 24,10.893357,106.77215
"POINT (106.7868 10.86735)",Point 25,10.86735,106.7868
"POINT (106.783195 10.867659)",Point 26,10.867659,106.783195
"POINT (106.7887115479 10.8911886215)",Point 27,10.8911886215,106.7887115479
"POINT (106.777381897 10.9025669098)",Point 28,10.9025669098,106.777381897
"POINT (106.7991409302 10.8748989105)",Point 29,10.8748989105,106.7991409302
"POINT (106.7983856201 10.8731403351)",Point 30,10.8731403351,106.7983856201
"POINT (106.811325 10.878308)",Point 31,10.878308,106.811325
"POINT (106.8090744019 10.8778276443)",Point 32,10.8778276443,106.8090744019
"POINT (106.7953872681 10.8800468445)",Point 33,10.8800468445,106.7953872681
"POINT (106.8081 10.875334)",Point 34,10.875334,106.8081
"POINT (106.7885 10.895865)",Point 35,10.895865,106.7885
"POINT (106.78762 10.8924)",Point 36,10.8924,106.78762
