WKT,Name,Latitude,Longitude
"POINT (106.788605 10.86193)",Point 1,10.86193,106.788605
"POINT (106.77985 10.884223)",Point 2,10.884223,106.77985
"POINT (106.77977 10.864685)",Point 3,10.864685,106.77977
"POINT (106.77882 10.861514)",Point 4,10.861514,106.77882
"POINT (106.76934 10.857906)",Point 5,10.857906,106.76934
"POINT (106.79103 10.86396)",Point 6,10.86396,106.79103
"POINT (106.77412 10.868389)",Point 7,10.868389,106.77412
"POINT (106.76979 10.859128)",Point 8,10.859128,106.76979
"POINT (106.78071 10.8843975)",Point 9,10.8843975,106.78071
"POINT (106.76921 10.862162)",Point 10,10.862162,106.76921
"POINT (106.770905 10.858322)",Point 11,10.858322,106.770905
"POINT (106.7816 10.865017)",Point 12,10.865017,106.7816
"POINT (106.76567 10.860927)",Point 13,10.860927,106.76567
"POINT (106.77203 10.860148)",Point 14,10.860148,106.77203
"POINT (106.790306 10.864965)",Point 15,10.864965,106.790306
"POINT (106.7981 10.86875)",Point 16,10.86875,106.7981
"POINT (106.8019866943 10.8672246933)",Point 17,10.8672246933,106.8019866943
"POINT (106.76657 10.858494)",Point 18,10.858494,106.76657
"POINT (106.76818 10.862452)",Point 19,10.862452,106.76818
"POINT (106.790375 10.865127)",Point 20,10.865127,106.790375
"POINT (106.79048 10.871209)",Point 21,10.871209,106.79048
"POINT (106.79181 10.87137)",Point 22,10.87137,106.79181
"POINT (106.786766 10.859771)",Point 23,10.859771,106.786766
"POINT (106.78342 10.863843)",Point 24,10.863843,106.78342
"POINT (106.787506 10.859241)",Point 25,10.859241,106.787506
"POINT (106.7638244629 10.8603239059)",Point 26,10.8603239059,106.7638244629
"POINT (106.788994 10.859928)",Point 27,10.859928,106.788994
"POINT (106.789894 10.862425)",Point 28,10.862425,106.789894
"POINT (106.77996 10.862791)",Point 29,10.862791,106.77996
"POINT (106.76226 10.864895)",Point 30,10.864895,106.76226
"POINT (106.78155 10.865022)",Point 31,10.865022,106.78155
"POINT (106.77243 10.855178)",Point 32,10.855178,106.77243
"POINT (106.78137 10.882128)",Point 33,10.882128,106.78137
"POINT (106.782974 10.86395)",Point 34,10.86395,106.782974
"POINT (106.78847 10.861816)",Point 35,10.861816,106.78847
"POINT (106.7999420166 10.8661909103)",Point 36,10.8661909103,106.7999420166
"POINT (106.76559 10.8579645)",Point 37,10.8579645,106.76559
"POINT (106.78066 10.864344)",Point 38,10.864344,106.78066
"POINT (106.78864 10.869271)",Point 39,10.869271,106.78864
"POINT (106.77272 10.857382)",Point 40,10.857382,106.77272
"POINT (106.7681 10.857355)",Point 41,10.857355,106.7681
"POINT (106.79074 10.860209)",Point 42,10.860209,106.79074
"POINT (106.791794 10.871379)",Point 43,10.871379,106.791794
"POINT (106.7881240845 10.8611402512)",Point 44,10.8611402512,106.7881240845
"POINT (106.76923 10.8547)",Point 45,10.8547,106.76923
"POINT (106.7737960815 10.8568105698)",Point 46,10.8568105698,106.7737960815
"POINT (106.7633 10.8711)",Point 47,10.8711,106.7633
"POINT (106.75487 10.857167)",Point 48,10.857167,106.75487
"POINT (106.78865 10.869282)",Point 49,10.869282,106.78865
"POINT (106.77159 10.855206)",Point 50,10.855206,106.77159
"POINT (106.78591 10.861479)",Point 51,10.861479,106.78591
"POINT (106.7854 10.861217)",Point 52,10.861217,106.7854
"POINT (106.768135 10.85816)",Point 53,10.85816,106.768135
"POINT (106.78927 10.862449)",Point 54,10.862449,106.78927
"POINT (106.77525 10.859339)",Point 55,10.859339,106.77525
"POINT (106.79074 10.861231)",Point 56,10.861231,106.79074
"POINT (106.76673 10.861208)",Point 57,10.861208,106.76673
"POINT (106.767296 10.86207)",Point 58,10.86207,106.767296
"POINT (106.78372 10.860438)",Point 59,10.860438,106.78372
"POINT (106.77096 10.855576)",Point 60,10.855576,106.77096
"POINT (106.767815 10.860276)",Point 61,10.860276,106.767815
"POINT (106.7631 10.87136)",Point 62,10.87136,106.7631
"POINT (106.7635650635 10.8600940704)",Point 63,10.8600940704,106.7635650635
"POINT (106.79075 10.865455)",Point 64,10.865455,106.79075
"POINT (106.764206 10.873394)",Point 65,10.873394,106.764206
"POINT (106.79827 10.867951)",Point 66,10.867951,106.79827
"POINT (106.79005 10.863924)",Point 67,10.863924,106.79005
"POINT (106.782585 10.861045)",Point 68,10.861045,106.782585
"POINT (106.76863 10.855316)",Point 69,10.855316,106.76863
"POINT (106.77894 10.862229)",Point 70,10.862229,106.77894
"POINT (106.78883 10.868884)",Point 71,10.868884,106.78883
"POINT (106.76456 10.871513)",Point 72,10.871513,106.76456
"POINT (106.7888259888 10.8612251282)",Point 73,10.8612251282,106.7888259888
"POINT (106.76429 10.872373)",Point 74,10.872373,106.76429
"POINT (106.772385 10.859422)",Point 75,10.859422,106.772385
"POINT (106.773315 10.858156)",Point 76,10.858156,106.773315
"POINT (106.76673 10.856239)",Point 77,10.856239,106.76673
"POINT (106.76272 10.868584)",Point 78,10.868584,106.76272
"POINT (106.77137 10.855928)",Point 79,10.855928,106.77137
"POINT (106.78879 10.869333)",Point 80,10.869333,106.78879
"POINT (106.7631 10.865186)",Point 81,10.865186,106.7631
"POINT (106.79787 10.868112)",Point 82,10.868112,106.79787
"POINT (106.78376 10.860471)",Point 83,10.860471,106.78376
"POINT (106.78294 10.860482)",Point 84,10.860482,106.78294
"POINT (106.78779 10.868206)",Point 85,10.868206,106.78779
"POINT (106.77559 10.85894)",Point 86,10.85894,106.77559
"POINT (106.78027 10.864281)",Point 87,10.864281,106.78027
"POINT (106.77121 10.855469)",Point 88,10.855469,106.77121
"POINT (106.76578 10.870328)",Point 89,10.870328,106.76578
"POINT (106.7749252319 10.8586378098)",Point 90,10.8586378098,106.7749252319
"POINT (106.77285 10.858145)",Point 91,10.858145,106.77285
"POINT (106.79184 10.863399)",Point 92,10.863399,106.79184
"POINT (106.77316 10.867287)",Point 93,10.867287,106.77316
"POINT (106.76477 10.870823)",Point 94,10.870823,106.76477
"POINT (106.77178 10.855136)",Point 95,10.855136,106.77178
"POINT (106.78711 10.864792)",Point 96,10.864792,106.78711
"POINT (106.766716 10.856214)",Point 97,10.856214,106.766716
"POINT (106.78759 10.864838)",Point 98,10.864838,106.78759
"POINT (106.78016 10.864616)",Point 99,10.864616,106.78016
"POINT (106.7714 10.849446)",Point 100,10.849446,106.7714
"POINT (106.79103 10.8640175)",Point 101,10.8640175,106.79103
"POINT (106.77933 10.859376)",Point 102,10.859376,106.77933
"POINT (106.78185 10.867065)",Point 103,10.867065,106.78185
"POINT (106.78878 10.867622)",Point 104,10.867622,106.78878
"POINT (106.76438 10.868914)",Point 105,10.868914,106.76438
"POINT (106.79857 10.870775)",Point 106,10.870775,106.79857
"POINT (106.78007 10.859729)",Point 107,10.859729,106.78007
"POINT (106.76398 10.871539)",Point 108,10.871539,106.76398
"POINT (106.78003 10.864604)",Point 109,10.864604,106.78003
"POINT (106.77212 10.854484)",Point 110,10.854484,106.77212
"POINT (106.78145 10.867139)",Point 111,10.867139,106.78145
"POINT (106.76803 10.858047)",Point 112,10.858047,106.76803
