WKT,Name,Latitude,Longitude
"POINT (106.767555 10.890067)",Point 1,10.890067,106.767555
"POINT (106.78165 10.884683)",Point 2,10.884683,106.78165
"POINT (106.77466 10.88101)",Point 3,10.88101,106.77466
"POINT (106.767815 10.8739605)",Point 4,10.8739605,106.767815
"POINT (106.78044 10.879152)",Point 5,10.879152,106.78044
"POINT (106.763824 10.877036)",Point 6,10.877036,106.763824
"POINT (106.771515 10.886587)",Point 7,10.886587,106.771515
"POINT (106.77089 10.8852415)",Point 8,10.8852415,106.77089
"POINT (106.78075 10.88474)",Point 9,10.88474,106.78075
"POINT (106.765114 10.886703)",Point 10,10.886703,106.765114
"POINT (106.78074646 10.8848628998)",Point 11,10.8848628998,106.78074646
"POINT (106.77635 10.878133)",Point 12,10.878133,106.77635
"POINT (106.772865 10.876365)",Point 13,10.876365,106.772865
"POINT (106.7645 10.878724)",Point 14,10.878724,106.7645
"POINT (106.76638 10.874669)",Point 15,10.874669,106.76638
"POINT (106.764565 10.876314)",Point 16,10.876314,106.764565
"POINT (106.77404 10.881532)",Point 17,10.881532,106.77404
"POINT (106.766418457 10.874464035)",Point 18,10.874464035,106.766418457
"POINT (106.7700576782 10.8725728989)",Point 19,10.8725728989,106.7700576782
"POINT (106.7793121338 10.8842868805)",Point 20,10.8842868805,106.7793121338
"POINT (106.77894 10.882664)",Point 21,10.882664,106.77894
"POINT (106.77384 10.879489)",Point 22,10.879489,106.77384
"POINT (106.77082 10.87773)",Point 23,10.87773,106.77082
"POINT (106.77101 10.87774)",Point 24,10.87774,106.77101
"POINT (106.764565 10.873249)",Point 25,10.873249,106.764565
"POINT (0.0 0.0)",Point 26,0.0,0.0
"POINT (106.77683 10.881462)",Point 27,10.881462,106.77683
"POINT (106.774376 10.878995)",Point 28,10.878995,106.774376
"POINT (106.7683868408 10.882648468)",Point 29,10.882648468,106.7683868408
"POINT (106.76926 10.884605)",Point 30,10.884605,106.76926
"POINT (106.7739944458 10.8774824142)",Point 31,10.8774824142,106.7739944458
"POINT (106.77732 10.869733)",Point 32,10.869733,106.77732
"POINT (106.7649917603 10.8751783371)",Point 33,10.8751783371,106.7649917603
"POINT (106.76823 10.889975)",Point 34,10.889975,106.76823
"POINT (106.7705993652 10.8727207184)",Point 35,10.8727207184,106.7705993652
"POINT (106.76408 10.876657)",Point 36,10.876657,106.76408
"POINT (106.77568 10.876193)",Point 37,10.876193,106.77568
"POINT (106.7663345337 10.8745355606)",Point 38,10.8745355606,106.7663345337
"POINT (106.769516 10.886501)",Point 39,10.886501,106.769516
"POINT (106.78119 10.882232)",Point 40,10.882232,106.78119
"POINT (106.7701 10.887466)",Point 41,10.887466,106.7701
"POINT (106.76567 10.87695)",Point 42,10.87695,106.76567
"POINT (106.77005 10.8841505)",Point 43,10.8841505,106.77005
"POINT (106.7791213989 10.8767938614)",Point 44,10.8767938614,106.7791213989
"POINT (106.76835 10.873017)",Point 45,10.873017,106.76835
"POINT (106.77218 10.88664)",Point 46,10.88664,106.77218
"POINT (106.7632 10.877969)",Point 47,10.877969,106.7632
"POINT (106.76659 10.888418)",Point 48,10.888418,106.76659
"POINT (106.7685623169 10.8784227371)",Point 49,10.8784227371,106.7685623169
"POINT (106.778534 10.873575)",Point 50,10.873575,106.778534
"POINT (106.7675933838 10.8848953247)",Point 51,10.8848953247,106.7675933838
"POINT (106.77732 10.869735)",Point 52,10.869735,106.77732
"POINT (106.77158 10.884771)",Point 53,10.884771,106.77158
"POINT (106.77449 10.882281)",Point 54,10.882281,106.77449
"POINT (106.772675 10.87947)",Point 55,10.87947,106.772675
"POINT (106.7654647827 10.8773927689)",Point 56,10.8773927689,106.7654647827
"POINT (106.767975 10.878111)",Point 57,10.878111,106.767975
"POINT (106.764565 10.876995)",Point 58,10.876995,106.764565
"POINT (106.7707672119 10.87266922)",Point 59,10.87266922,106.7707672119
"POINT (106.7636 10.87887)",Point 60,10.87887,106.7636
"POINT (106.762764 10.87791)",Point 61,10.87791,106.762764
"POINT (106.77709 10.878532)",Point 62,10.878532,106.77709
"POINT (106.77152 10.880295)",Point 63,10.880295,106.77152
"POINT (106.58592 10.798962)",Point 64,10.798962,106.58592
"POINT (106.58589 10.798953)",Point 65,10.798953,106.58589
"POINT (106.77039 10.876756)",Point 66,10.876756,106.77039
"POINT (106.77356 10.881387)",Point 67,10.881387,106.77356
"POINT (106.7741241455 10.8773803711)",Point 68,10.8773803711,106.7741241455
"POINT (106.777954 10.875264)",Point 69,10.875264,106.777954
"POINT (106.757324 10.903095)",Point 70,10.903095,106.757324
"POINT (106.76764 10.888598)",Point 71,10.888598,106.76764
"POINT (106.7626266479 10.8827362061)",Point 72,10.8827362061,106.7626266479
,Point 73,,
"POINT (106.766166687 10.8732204437)",Point 74,10.8732204437,106.766166687
"POINT (106.77465 10.870464)",Point 75,10.870464,106.77465
"POINT (106.77218 10.8847)",Point 76,10.8847,106.77218
"POINT (106.767494 10.888657)",Point 77,10.888657,106.767494
"POINT (106.7657012939 10.8787746429)",Point 78,10.8787746429,106.7657012939
"POINT (106.76694 10.87674)",Point 79,10.87674,106.76694
,Point 80,,
"POINT (106.7698135376 10.8739213943)",Point 81,10.8739213943,106.7698135376
"POINT (106.757324 10.903095)",Point 82,10.903095,106.757324
"POINT (106.76731 10.874713)",Point 83,10.874713,106.76731
"POINT (106.7731 10.881652)",Point 84,10.881652,106.7731
"POINT (106.7663955688 10.8738746643)",Point 85,10.8738746643,106.7663955688
"POINT (106.76803 10.874061)",Point 86,10.874061,106.76803
"POINT (106.78128 10.884611)",Point 87,10.884611,106.78128
"POINT (106.77558 10.880359)",Point 88,10.880359,106.77558
"POINT (106.729744 10.883174)",Point 89,10.883174,106.729744
"POINT (106.76938 10.877622)",Point 90,10.877622,106.76938
"POINT (106.7683639526 10.8812131882)",Point 91,10.8812131882,106.7683639526
"POINT (106.77664 10.882173)",Point 92,10.882173,106.77664
"POINT (106.7693 10.87326)",Point 93,10.87326,106.7693
"POINT (106.76758 10.888636)",Point 94,10.888636,106.76758
"POINT (106.77734 10.8764105)",Point 95,10.8764105,106.77734
"POINT (106.585884 10.7989645)",Point 96,10.7989645,106.585884
"POINT (106.767525 10.873805)",Point 97,10.873805,106.767525
"POINT (106.7684783936 10.8821249008)",Point 98,10.8821249008,106.7684783936
"POINT (106.774345 10.881389)",Point 99,10.881389,106.774345
"POINT (106.76963 10.876286)",Point 100,10.876286,106.76963
"POINT (106.7604 10.903052)",Point 101,10.903052,106.7604
