station_id,longitude,latitude,station_name
1,106.8028618,10.8771068,"International University, VNU-HCM"
2,106.8027517,10.8781307,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward"
3,106.8024914,10.8766326,"International University, VNU-HCM - Creative Square - Linh Trung Ward"
4,106.8024855,10.8764075,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward"
5,106.804914,10.875638,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward
6,106.8051008,10.875778,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward
7,106.8061372,10.8746507,"University of Science, VNU-HCM - Opposite CNG Station - Road 621"
8,106.807054,10.8743141,VNU-HCM Ring Road - VNU-HCM Utility Pole 6 (Mua Bui Cafe) - Road 621 - Linh Trung Ward
9,106.8075572,10.8759027,Area A Bus Terminal - No. 28-30 Nguyen Binh Khiem Street - Linh Trung Ward
10,106.807517,10.8762014,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward
11,106.805858,10.877729,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward
12,106.805685,10.8778558,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward
13,106.807183,10.8801103,"Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward"
14,106.80729,10.879921,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward"
15,106.810634,10.880791,"AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward"
16,106.81078,10.8807,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward"
17,106.805115,10.8765308,Bus Stop 33
18,106.7999792,10.8743785,Student Cultural House - Opposite Student Cultural House - Creative Square - Linh Trung Ward
19,106.8001747,10.874543,Student Cultural House - Creative Square - Linh Trung Ward
20,106.7981465,10.8716853,Fishing Lake - Opposite 6/21 Alexandre de Rhodes Street
21,106.797648,10.8710814,Fishing Lake - In Front of House No. 21/6 (Utility Pole 167) - Alexandre de Rhodes Street - Linh Trung Ward
22,106.795856,10.8705742,University of Physical Education and Sports - Vo Truong Toan Street - Linh Trung Ward
23,106.7958583,10.870383,VNU-HCM Central Library - Rear Gate of VNU-HCM Central Library - Vo Truong Toan Street - Linh Trung Ward
24,106.802275,10.8734223,"University of Social Sciences and Humanities, VNU-HCM - Creative Square - Linh Trung Ward"
25,106.8029052,10.8736134,VNU-HCM Area A Bus Terminal - Creative Square
26,106.8017771,10.8702028,"University of Information Technology, VNU-HCM - Han Thuyen Street"
27,106.7950793,10.8677212,VNU-HCM Central Library - Vo Truong Toan Street - Linh Trung Ward
28,106.7945856,10.8667878,VNU-HCM Information Technology Park - Vo Truong Toan Street
29,106.7911828,10.8669175,Nong Lam University - No. 85 (Opposite No. 1026-1028) - National Highway 1 - Linh Trung Ward
30,106.7937506,10.8654768,Thao Nguyen - 35B National Highway 1 - Linh Trung Ward
31,106.8005276,10.8662161,VNU-HCM Metro Station - Opposite VNU-HCM Metro Station - Left Frontage Road of Hanoi Highway - Linh Trung Ward
32,106.8041216,10.8685979,National Defense Education Institution
33,106.8066598,10.8713888,People's Security University - Tien Thanh Factory - National Highway 1
34,106.8129488,10.8792015,Duc Khai Joint Stock Company - National Highway 1
35,106.8142454,10.8809737,Opposite New Eastern Bus Station
36,106.8017043,10.8911157,Opposite Binh Nguyen Residential Area Gateway - Thong Nhat Street - Thu Duc City
37,106.80068,10.891579,Near Binh Nguyen Residential Area Gateway - Thong Nhat Street - Binh Chieu Ward
38,106.7920074,10.8938184,Bcons Plaza
39,106.7926424,10.8938656,Bcons Plaza
40,106.8046342,10.8876326,Ho Da Park - Dong Hoa
41,106.8047072,10.8873942,National Defense and Security Education Center (Nguyen Du Gate) - Opposite Rear Gate - Nguyen Du Street - Binh Chieu Ward
42,106.8,10.883092,Ho Da Lake - Le Quy Don Intersection - Nguyen Du Street (Residential Block 497-499) - Linh Trung Ward
43,106.8000822,10.8850557,National Defense and Security Education Center
44,106.799471,10.8870881,National Defense and Security Education Center - 60 m from Center Gate - Le Quy Don Street
45,106.7988382,10.8886838,National Defense and Security Education Center
46,106.7873966,10.8799484,Institute for Environment and Resources - Opposite Institute - Main Axis Road No. 7 - Linh Trung Ward
47,106.7873868,10.8797271,Institute for Environment and Resources - Main Axis Road No. 7
48,106.7831044,10.8817308,VNU-HCM Area B Dormitory - Inbound Direction - Main Axis Road No. 7 - Linh Trung Ward
49,106.7823447,10.8816676,VNU-HCM Area B Dormitory - Outbound Direction - Main Axis Road No. 7 - Linh Trung Ward
50,106.779234,10.8831622,VNU-HCM Area B Dormitory - Rear Gate - Tieu Bieu Road No. 3 - Linh Trung Ward
51,106.778599,10.8835068,VNU-HCM Area B Dormitory - Opposite Rear Gate - Tieu Bieu Road No. 3 - Linh Trung Ward
52,106.7821956,10.8678354,Samsung Electronics Company - No. 34/38 (Next to No. 59/6) - National Highway 1
53,106.7779536,10.869224,"University of Economics and Law, VNU-HCM - National Highway 1 - Linh Xuan Ward"
54,106.7878803,10.867911,Nong Lam University
55,106.7872195,10.8673619,Nong Lam University - Next to No. 21 National Highway 1
56,106.7876705,10.8682438,Nong Lam University - Nong Lam University Bus Terminal - National Highway 1
57,106.7757943,10.8699376,Linh Xuan Logistics Center - National Highway 1 - Linh Xuan Ward
58,106.7777662,10.87373,"University of Economics and Law, VNU-HCM (Gate 2) - 80 m from Gate 2 - Tran Dai Nghia Street - Linh Xuan Ward"
59,106.7776395,10.8739947,"University of Economics and Law, VNU-HCM (Gate 2) - Next to No. 47 Tran Dai Nghia Street - Linh Xuan Ward"
60,106.7793856,10.8726381,"University of Economics and Law, VNU-HCM - Opposite Gate 3 - Luong Van Can Street - Binh Chieu Ward"
61,106.7798379,10.8723503,65/16 National Highway 1A - Linh Xuan Ward
62,106.7777661,10.8758721,Bong Dau 2 Cemetery - No. 234-236 Road No. 8 - Linh Xuan Ward
63,106.7780348,10.8756225,Bong Dau 2 Cemetery - No. 193 Road No. 8 - Linh Xuan Ward
64,106.795521,10.880685,VNU-HCM Guest House - VNU-HCM Guest House (Stop CX 264-266) - Nguyen Du Street - Linh Trung Ward
65,106.7955379,10.8809022,VNU-HCM Guest House - Opposite VNU-HCM Guest House (Stop CX 353-355) - Nguyen Du Street - Linh Trung Ward
66,106.77133,10.871398,City Cemetery - Utility Pole NG/1 - National Highway 1 - Linh Xuan Ward
67,106.7681164,10.8724455,Nissan Company - Opposite Nissan Company (No. 559) - National Highway 1
68,106.7656461,10.8743998,Linh Xuan Overpass - No. 4 National Highway 1K - Linh Xuan Ward
69,106.766628,10.877382,Linh Xuan Market - No. 74-76 National Highway 1K - Linh Xuan Ward
70,106.768066,10.88015,Linh Xuan Cao Dai Temple - No. 160 National Highway 1K - Linh Xuan Ward
71,106.769487,10.881807,Road No. 8 - No. 202-204 National Highway 1K - Linh Xuan Ward
72,106.772568,10.885452,Tu Quang Pagoda - National Highway 1K - Linh Xuan Ward
73,106.7744084,10.8869185,Big C - 280A National Highway 1K - Linh Xuan Ward
74,106.7711123,10.881822,National Highway 1K - Opposite No. 22 Road No. 8 - Linh Xuan Ward
75,106.7741556,10.8799244,Dao Son Tay High School - No. 51-53 Road No. 8 - Linh Xuan Ward
76,106.7726397,10.8808971,Linh Xuan Football Field - No. 62 Road No. 8 - Linh Xuan Ward
77,106.7746405,10.8791889,Dao Son Tay High School - No. 116-118 Road No. 8 - Linh Xuan Ward
78,106.8052248,10.889413,300 VNU-HCM Ring Road - Quarter
79,106.8055626,10.8892959,Dong An Driving Training Center - Near 300 Thong Nhat Street - Dong An Driving Training Center Gate
80,106.8016079,10.8656824,Suoi Tien - Suoi Tien (120 Hanoi Highway) - Left Frontage Road of Hanoi Highway - Tan Phu Ward
81,106.8094979,10.8735531,Ho Chi Minh City Martyrs' Cemetery - National Highway 1 - Tan Phu Ward
82,106.772271,10.885494,Tu Quang Pagoda - No. 231 National Highway 1K - Linh Xuan Ward
83,106.7692671,10.8819201,Road No. 8 - No. 167 National Highway 1K - Linh Xuan Ward
84,106.767744,10.880158,Linh Xuan Cao Dai Temple - National Highway 1K
85,106.7664046,10.8775305,Linh Xuan Market - National Highway 1K - Linh Xuan Ward
86,106.7653083,10.8742961,Linh Xuan Overpass - No. 13-15 National Highway 1K
87,106.7702832,10.8713557,Vietcombank - Vietcombank Branch - National Highway 1 - Linh Trung Ward
88,106.7730323,10.8704781,City Cemetery - City Cemetery Gate - National Highway 1 - Linh Trung Ward
89,106.7767495,10.8692389,"University of Economics and Law, VNU-HCM - Opposite No. 665 Co.opXtra - National Highway 1 - Linh Trung Ward"
90,106.787312,10.8670444,Nong Lam University - Utility Pole SI 2 - National Highway 1 - Linh Trung Ward
91,106.7902717,10.8668594,Nong Lam University - No. 1026/2 (1030) - National Highway 1 - Linh Trung Ward
92,106.7973919,10.8634172,Tram 2 Overpass - Kim Loi Gold Shop - National Highway 1
